"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-10-19,1093.1525215429,1132.3472816236,1069.3075532827,1109.680040937,3690436753.39,5.76678250276773,NA
2025-10-18,1071.9655781928,1129.1925449974,1071.4738426522,1093.1525215429,3767783164.95,5.38438020020258,-0.0150059789495849
2025-10-17,1145.818048798,1154.8911753885,1024.0832364717,1071.9629939918,6656427567.9,11.4161178604248,-0.0195742018914018
2025-10-16,1162.6937297519,1193.7739803616,1125.3332444584,1145.8253651744,5605348340.36,5.88639416829092,0.0666336787480608
2025-10-15,1211.0511349335,1221.7075491257,1151.8351927941,1162.6917828493,5853929584.61,5.7695628463646,0.0146125990958144
2025-10-14,1293.4732448801,1316.4070754932,1147.7499804177,1211.0511349335,10106588254.97,13.0390864861788,0.0407508696915011
2025-10-13,1303.1473985567,1370.546042415,1257.1101844916,1293.4732448801,11820387270.54,8.70476034016075,0.0658423490890465
2025-10-12,1137.1993063774,1319.7719324518,1110.1973725037,1303.1172718434,10201040571.71,18.429008773819,0.00742825736041119
2025-10-11,1106.8986036439,1180.5259151247,1080.7184031363,1137.1993063774,8101403819.74,9.01686131501429,-0.136190804652011
2025-10-10,1255.8875679279,1276.3581973703,962.4681486546,1106.8986036439,10329526517.82,24.9934832330246,-0.0270064369484837
2025-10-09,1306.597432388,1318.057396103,1228.0820548152,1255.8906081912,8172167891.39,6.88623282561918,0.126282914956747
2025-10-08,1310.2276331434,1332.8315795624,1270.3103401816,1306.5993454315,7916662086.81,4.77178452043511,0.0395828735897359
2025-10-07,1223.5800576204,1336.5655923154,1209.2815336424,1310.2144142026,11163171146.54,10.4025934290348,0.0027629563300442
2025-10-06,1165.5275578696,1237.8118482592,1164.016800849,1223.581040663,5653272929.87,6.33147169382126,-0.0684089603270692
2025-10-05,1150.5453115642,1186.8544179104,1145.5288668835,1165.5275578696,3611451465.11,3.59182299137063,-0.048608014566617
2025-10-04,1189.9288601756,1190.0084300118,1138.2661671437,1150.5476327519,3775482130.88,4.34834926690193,-0.0129357924701665
2025-10-03,1090.6556546922,1190.3542940486,1085.5954584418,1189.919036928,6097241167.05,9.60512469321626,0.0336472371941747
2025-10-02,1026.1667150476,1097.2117570161,1023.982704372,1090.6556546922,3813163058.86,7.13617500648549,-0.0871062351460994
2025-10-01,1008.483442156,1034.829746743,1003.8837166852,1026.1667461797,3100184262.35,3.0685709615263,-0.0609487792813024
2025-09-30,1030.7412128512,1032.7960349034,994.4840388472,1008.483442156,3076619211.37,3.71693647042816,-0.017382594197711
2025-09-29,993.3158241581,1035.7254300555,992.6415634786,1030.7412128512,3359320683.53,4.33737845799612,0.0218305075748342
2025-09-28,968.7895458177,993.3856813295,964.2875521195,993.3155769412,2519459113.18,3.0035552443374,-0.0369850314367515
2025-09-27,960.9239801641,983.926909329,957.402071821,968.7895458177,2777184185.04,2.76034713000608,-0.0250010137853991
2025-09-26,945.7136164172,964.7284079915,933.5052320403,960.9239801641,3789703569.78,3.3015466214273,-0.00815210041038394
2025-09-25,1018.8718580951,1019.8428120246,943.3248450159,945.7136164172,4693762081.49,7.51006776767387,-0.0159555087536987
2025-09-24,1017.0292817937,1034.0547495778,995.2928866081,1018.8478679806,3603925585.1,3.81128288669693,0.0744879345108442
2025-09-23,993.0140178406,1026.2455556886,964.5532343505,1017.019892652,4038510424.58,6.21263348046744,-0.00179577068332648
2025-09-22,1048.6711699813,1050.318339625,978.5732823301,993.0140178406,4892903256.41,6.84152090270387,-0.0238871753843224
2025-09-21,1042.6627134115,1080.4776630205,1041.0262790682,1048.6723626418,4306431415,3.78371485283275,0.0545354459681651
2025-09-20,984.134506113,1043.2438534327,984.119728235,1042.6501626485,3759046572.13,6.00772809310593,-0.00575924236100622
2025-09-19,981.8351900703,1002.0829145903,975.8117577538,984.1241125482,3293771895.09,2.67571962200897,-0.0577689644730253
