"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-09-25,4153.5209298063,4162.0623447362,3829.0108259988,3868.334060876,68963092030.56,8.01853474114869,-0.0424023695676023
2025-09-24,4165.4125766006,4206.9019297275,4081.3476172151,4153.4691550776,33538388785.46,3.01421072231133,0.0711199868863019
2025-09-23,4203.0215183661,4227.7315671691,4120.8153145207,4165.5039099082,32460075910.51,2.54379503367291,0.00289332905208006
2025-09-22,4451.5806532172,4457.0825687805,4092.3967072106,4202.877304239,58221334532.83,8.1922779789767,0.00893210809900147
2025-09-21,4482.5840160202,4499.3890919,4447.1193628613,4451.3289723137,19330306132.7,1.16606245085188,0.0574333338840471
2025-09-20,4470.9785670111,4509.8118894505,4459.1593688534,4482.2656017202,18056494321.84,1.13291799184269,0.00692593620979132
2025-09-19,4589.5056900603,4620.7928209427,4443.2647476704,4470.9170788336,30352619652.62,3.86813058445011,-0.0025350826335746
2025-09-18,4592.4427605281,4643.972430282,4556.2701311401,4589.9190472981,33497259157.97,1.90970913988735,0.0262688365302584
2025-09-17,4503.6356814111,4617.2346908668,4429.6444970622,4592.7333695858,44120899416.67,4.16530570132225,0.000612965023186973
2025-09-16,4526.0781988425,4537.5996783826,4428.330126307,4503.5646113406,32761501436.4,2.41422147994582,-0.0196061331301642
2025-09-15,4609.7230116142,4670.530051249,4469.8614373781,4526.8202452582,40224062008.78,4.35315990495124,0.00515054135509807
2025-09-14,4668.1713650971,4690.6418566728,4581.846964773,4609.5976124304,28394160274.52,2.330567654676,0.0181208069812566
2025-09-13,4714.703579182,4763.361237239,4609.1255299934,4668.1797951756,34843845976.8,3.27137654902919,0.0126286628233974
2025-09-12,4461.4792570091,4734.2737886287,4453.28473268,4715.2463099665,43839753626.28,6.29811414022061,0.0100319241590583
2025-09-11,4349.2003012397,4471.6986051888,4339.7166563778,4461.2333326552,35959212991.11,3.03462567068662,-0.0553758945850085
2025-09-10,4309.0915826679,4450.4181577939,4286.0623814924,4349.1461490643,39521365145.59,3.81416298884373,-0.0254457215272819
2025-09-09,4308.2832118592,4381.2266490583,4277.8528504265,4309.0415754543,30703320924.99,2.39941975836798,-0.00926403115935059
2025-09-08,4305.3811442077,4381.275038316,4279.971980202,4308.0723177354,32277142377.91,2.35294053466763,-0.000224961102986754
2025-09-07,4274.1668054703,4334.2744077192,4271.5340905199,4305.3476683497,17426783535.87,1.4678958509294,-0.000632652182520843
2025-09-06,4306.9732283384,4327.4397777543,4244.7550779829,4274.242062903,18108246446.49,1.91978671303001,-0.00725110237468307
2025-09-05,4298.8370518843,4484.3614556964,4258.0497653417,4306.9889316018,44163736675.93,5.26448636278274,0.00763224476337676
2025-09-04,4450.215912826,4483.4510120426,4268.5887707341,4298.7442224093,34919798552.38,4.82813071359626,-0.0019160974590875
