"Coin","RMSE","MAE","Accuracy"
"BTC",0.0189511036718278,0.0142825542933159,0.5
"ETH",0.0407797084548944,0.0290513482876508,0.473684210526316
"BNB",0.0400795474035684,0.0296348794552596,0.447368421052632
